vowel,vowel_ethnicity,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35,participant,ethnicity,predicted_ethnicity
?,?_EA,-0.651753108,-0.086959439,0.654722837,-0.575340544,-0.015368568,0.679913085,-0.604438106,-0.00122406,0.677066108,-0.654448527,0.072532727,0.676353096,-0.848990195,0.137560365,0.67849061,1,EA,EA
?,?_EA,-0.623881363,-0.063517912,0.661623173,-0.630447375,-0.064265575,0.657997353,-0.643710169,-0.018221637,0.672780388,-0.734491235,0.0790347,0.661261182,-1.319649777,0.122161231,0.661261182,1,EA,EA
?,?_EA,-0.715663742,-0.105492788,0.679557656,-0.653099909,-0.096955677,0.701706567,-0.637056784,-0.042075316,0.696477341,-0.662578653,0.029888024,0.675282623,-0.868858398,0.167664986,0.638928202,1,EA,EA
?,?_EA,-1.033938149,0.089991948,0.56319558,-1.004781564,0.002980571,0.566385375,-0.99905089,-0.074036416,0.612289973,-0.980182405,-0.17153933,0.626635255,-1.020225887,-0.271272265,0.664514393,1,EA,W
?,?_EA,-1.020225887,0.08806702,0.554773633,-0.993352869,0.009254555,0.597350028,-0.963499905,-0.084666736,0.635218998,-0.934512369,-0.115676973,0.652899017,-0.956173865,-0.228942668,0.680623565,1,EA,W
?,?_EA,-0.502034461,-0.130750642,0.666677335,-0.543435998,-0.137166061,0.635218998,-0.562948812,-0.174040374,0.641147137,-0.695776722,-0.309720508,0.683814491,-1.1621302,-0.25394397,0.684168411,1,EA,W
?,?_EA,-0.687373312,-0.262114692,0.711050812,-0.645046174,-0.279586401,0.734541254,-0.582849966,-0.269434029,0.717916613,-0.600594412,-0.240472729,0.702401735,-0.596765434,-0.241365188,0.693677199,1,EA,EA
?,?_EA,-0.533820539,-0.157483704,0.665235893,-0.554365068,-0.174040374,0.649241368,-0.589151185,-0.192575024,0.651803126,-0.728660314,-0.249433363,0.677066108,-1.078300261,-0.184107573,0.655087202,1,EA,W
?,?_EA,-0.610877279,-0.237800122,0.673853541,-0.586625931,-0.227180553,0.666317169,-0.596765434,-0.230707894,0.655451434,-0.616058637,-0.202831524,0.652533854,-0.634407776,-0.068763334,0.656179501,1,EA,EA
a?,a?_EA,-0.538616711,0.051437679,0.602738802,-0.431574918,0.041394073,0.61380973,-0.452306702,0.09446909,0.610767903,-0.688768985,0.250714393,0.564392946,-1.028038427,0.227521747,0.602354851,1,EA,W
